CITY                                   ZIPCODE P       RENT ESTIMATE ASKING   PCT                                          PROP_ID  
                                         32812 C      11.44   $1,003     $575 174%                                         1149932  
                                         32814 B      11.44   $2,069   $2,385 87%                                          1111018  
                                         32814 B      11.44   $2,228   $2,400 93%                                          1110513  
                                         32814 B      11.44   $2,017   $2,750 73%                                          1109643  
                                         32817 B      11.44   $1,602   $1,200 133%                                         1208344  
                                         32817 B      11.44   $1,045     $950 110%                                         1210010  
                                         32817 B      11.44   $1,757   $1,400 125%                                         1209235  
                                         32817 B      11.44     $980     $950 103%                                         1199837  
                                         32817 B      11.44   $1,674   $1,400 120%                                         1197508  
                                         32817 B      11.44   $1,226   $1,375 89%                                          1198035  
                                         32817 C      11.44     $780     $695 112%                                         1208242  
                                         32817 C      11.44   $1,386   $1,000 139%                                         1201733  
                                         32817 C      11.44     $833     $900 93%                                          1210437  
                                         32817 C      11.44     $824     $900 92%                                          1106493  
                                         32818 B      11.44   $1,554   $1,200 129%                                          852272  
                                         32818 B      11.44   $1,192   $1,000 119%                                          851329  
                                         32818 B      11.44   $1,360   $1,000 136%                                          848627  
                                         32818 B      11.44   $1,033     $750 138%                                          868015  
                                         32818 C      11.44   $1,235     $895 138%                                          862813  
                                         32818 C      11.44   $1,139     $950 120%                                          864241  
                                         32818 C      11.44     $993     $650 153%                                          878304  
                                         32818 C      11.44   $1,238   $1,050 118%                                          852154  
                                         32818 C      11.44   $2,444   $1,400 175%                                          851892  
                                         32818 C      11.44   $1,138     $995 114%                                          851222  
                                         32818 C      11.44     $755     $900 84%                                           846140  
                                         32818 C      11.44   $1,120     $950 118%                                          864054  
                                         32819 A      11.44   $2,392   $2,895 83%                                           910790  
                                         32819 A      11.44   $2,462   $1,825 135%                                          909194  
                                         32819 A      11.44   $1,173   $1,100 107%                                          908199  
                                         32819 A      11.44   $2,587   $1,700 152%                                          915722  
                                         32819 B      11.44   $1,737   $1,575 110%                                          915472  
                                         32819 B      11.44   $1,753   $1,575 111%                                          916017  
                                         32819 B      15.39       $0   $1,850 0%                                           1048120  
                                         32819 B      15.39       $0   $1,750 0%                                           1048122  
                                         32819 B      15.39       $0   $3,300 0%                                           1048132  
