SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012
162,12,000,51650,00000,00000,Opa-locka city,Florida,15219,15219,15270,15592,15701
162,12,000,51825,00000,00000,Orange City city,Florida,10599,10847,10840,10803,10813
162,12,000,52125,00000,00000,Orange Park town,Florida,8412,8412,8429,8415,8466
162,12,000,52175,00000,00000,Orchid town,Florida,415,415,415,417,421
162,12,000,53000,00000,00000,Orlando city,Florida,238300,238304,238893,243329,249562
162,12,000,53150,00000,00000,Ormond Beach city,Florida,38137,38164,38178,38217,38376
162,12,000,53500,00000,00000,Otter Creek town,Florida,134,134,134,133,133
162,12,000,53575,00000,00000,Oviedo city,Florida,33342,33468,33564,34412,35291
162,12,000,53800,00000,00000,Pahokee city,Florida,5649,5649,5777,5929,5962
162,12,000,53875,00000,00000,Palatka city,Florida,10558,10558,10552,10543,10472
162,12,000,54000,00000,00000,Palm Bay city,Florida,103190,103190,103330,103346,104124
162,12,000,54025,00000,00000,Palm Beach town,Florida,8348,8348,8365,8428,8532
162,12,000,54075,00000,00000,Palm Beach Gardens city,Florida,48452,48454,48582,49128,49889
162,12,000,54150,00000,00000,Palm Beach Shores town,Florida,1142,1142,1145,1154,1169
162,12,000,54200,00000,00000,Palm Coast city,Florida,75180,75197,75492,76531,77374
162,12,000,54250,00000,00000,Palmetto city,Florida,12606,12645,12677,12727,12852
162,12,000,54275,00000,00000,Palmetto Bay village,Florida,23410,23408,23483,23993,24180
162,12,000,54425,00000,00000,Palm Shores town,Florida,900,900,901,897,907
162,12,000,54450,00000,00000,Palm Springs village,Florida,18928,19872,19908,20088,20342
162,12,000,54700,00000,00000,Panama City city,Florida,36484,35505,35600,35736,36167
162,12,000,54725,00000,00000,Panama City Beach city,Florida,12018,11555,11589,11629,11814
162,12,000,55075,00000,00000,Parker city,Florida,4317,4317,4328,4342,4394
162,12,000,55125,00000,00000,Parkland city,Florida,23962,23960,24092,24909,25701
162,12,000,55475,00000,00000,Paxton town,Florida,644,644,647,650,673
162,12,000,55750,00000,00000,Pembroke Park town,Florida,6102,6102,6111,6184,6239
162,12,000,55775,00000,00000,Pembroke Pines city,Florida,154750,154750,155159,158009,160306
162,12,000,55875,00000,00000,Penney Farms town,Florida,749,749,750,749,756
162,12,000,55925,00000,00000,Pensacola city,Florida,51923,51923,52002,51944,52340
162,12,000,56150,00000,00000,Perry city,Florida,7017,7006,7012,7090,7003
162,12,000,56425,00000,00000,Pierson town,Florida,1736,1736,1736,1731,1732
162,12,000,56625,00000,00000,Pinecrest village,Florida,18223,18223,18288,18712,18887
162,12,000,56975,00000,00000,Pinellas Park city,Florida,49079,49120,49097,49422,49686
162,12,000,57425,00000,00000,Plantation city,Florida,84955,84877,85340,86799,88016
162,12,000,57550,00000,00000,Plant City city,Florida,34721,34682,34805,35629,35903
162,12,000,57950,00000,00000,Polk City town,Florida,1562,1562,1569,1580,1594
162,12,000,58025,00000,00000,Pomona Park town,Florida,912,912,910,907,897
162,12,000,58050,00000,00000,Pompano Beach city,Florida,99845,99844,100085,101681,102984
162,12,000,58175,00000,00000,Ponce de Leon town,Florida,598,573,572,569,563
162,12,000,58200,00000,00000,Ponce Inlet town,Florida,3032,3032,3032,3030,3045
162,12,000,58575,00000,00000,Port Orange city,Florida,56048,56505,56516,56521,56766
162,12,000,58600,00000,00000,Port Richey city,Florida,2671,2671,2671,2663,2670
162,12,000,58675,00000,00000,Port St. Joe city,Florida,3445,3445,3441,3422,3406
162,12,000,58715,00000,00000,Port St. Lucie city,Florida,164603,164640,165287,166891,168716
162,12,000,59200,00000,00000,Punta Gorda city,Florida,16641,16641,16652,16627,16869
162,12,000,59325,00000,00000,Quincy city,Florida,7972,7978,7973,7877,7811
162,12,000,59400,00000,00000,Raiford town,Florida,255,254,254,249,247
162,12,000,59675,00000,00000,Reddick town,Florida,506,506,506,506,508
162,12,000,59725,00000,00000,Redington Beach town,Florida,1427,1427,1427,1427,1433
